dataset,task,rows,features,subsampled,signature,flags,model,model_name,eligible,ruled_out_why,recommended_rank,score,score_std,seconds,status,detail
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,LM2,Logistic Regression,True,,7,0.6002612330198538,0.02088084404133689,0.1,ok,
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,TR1,Decision Tree,True,,8,0.5880982236154649,0.052964157212492535,0.08,ok,
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,TR2,Random Forest,True,,1,0.5803761755485893,0.03255852420736302,1.65,ok,
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,TR3,Extra Trees,True,,2,0.5869278996865204,0.05905438430959926,1.33,ok,
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,EN1,AdaBoost,True,,9,0.5746185997910136,0.03514992783775563,0.44,ok,
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,EN2,Gradient Boosting (GBM),True,,10,0.5883281086729363,0.06091288671409216,0.58,ok,
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,EN6,Stacking,True,,3,0.570491118077325,0.05559898307995339,2.67,ok,
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,EN7,Voting Ensemble,True,,4,0.5992371995820271,0.04920716636584541,0.21,ok,
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,SV1,SVM (linear),True,,14,0.5900313479623825,0.06198338921221418,0.09,ok,
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,SV2,Kernel SVM (RBF/Poly),True,,15,0.5633333333333332,0.04760952285695232,0.09,ok,
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,PR1,Naive Bayes,True,,16,0.5937722048066876,0.11128021044141209,0.09,ok,
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,IB1,k-Nearest Neighbors,True,,17,0.5860188087774295,0.027630316054508046,0.08,ok,
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,DR4,LDA (Linear Discriminant Analysis),True,,18,0.5900313479623824,0.042917834733742465,0.08,ok,
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,NN1,Perceptron,True,,19,0.5616509926854754,0.08814411195745232,0.08,ok,
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,NN2,MLP (Feedforward),True,,5,0.5856739811912226,0.05527209101731816,1.53,ok,
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,EN3,XGBoost,True,,11,0.5735945663531871,0.038943661130803185,0.19,ok,
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,EN4,LightGBM,True,,12,0.5668129571577847,0.021083881238415533,0.16,ok,
heart_disease_va_long_beach,classification,200,13,False,A11 A21 A38 A41 A51 A62,A54,BASE-HGB,Histogram Gradient Boosting (baseline),False,,,0.5737095088819226,0.025354505523090237,0.42,ok,
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,LM2,Logistic Regression,True,,7,0.8437037037037036,0.07114196861358799,0.07,ok,
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,TR1,Decision Tree,True,,8,0.8754131054131055,0.05189657130482835,0.07,ok,
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,TR2,Random Forest,True,,1,0.8703703703703705,0.09075207790098828,1.68,ok,
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,TR3,Extra Trees,True,,2,0.888888888888889,0.06571334849249447,1.38,ok,
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,EN1,AdaBoost,True,,9,0.8903703703703704,0.06314135947000324,0.37,ok,
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,EN2,Gradient Boosting (GBM),True,,10,0.9074074074074074,0.04789105148220627,0.48,ok,
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,EN6,Stacking,True,,3,0.8570370370370372,0.07512586603560358,0.42,ok,
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,EN7,Voting Ensemble,True,,4,0.868148148148148,0.07134221705383413,0.13,ok,
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,SV1,SVM (linear),True,,14,0.8296296296296296,0.05916659421545442,0.07,ok,
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,SV2,Kernel SVM (RBF/Poly),True,,15,0.8414814814814815,0.04059908031420661,0.08,ok,
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,PR1,Naive Bayes,True,,16,0.8555555555555555,0.04631851318774369,0.08,ok,
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,IB1,k-Nearest Neighbors,True,,17,0.8088888888888889,0.04557813351974863,0.09,ok,
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,DR4,LDA (Linear Discriminant Analysis),True,,18,0.8103703703703704,0.056286548863741855,0.09,ok,
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,NN1,Perceptron,True,,19,0.8274358974358975,0.06601967690510702,0.08,ok,
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,NN2,MLP (Feedforward),True,,5,0.8731908831908832,0.06638876013192999,1.39,ok,
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,EN3,XGBoost,True,,11,0.8800000000000001,0.07534465845897134,0.15,ok,
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,EN4,LightGBM,True,,12,0.8962962962962961,0.0758671859500407,0.13,ok,
biomed,classification,209,8,False,A11 A21 A38 A41 A51 A61,A54,BASE-HGB,Histogram Gradient Boosting (baseline),False,,,0.8820797720797721,0.0632451938555294,0.35,ok,
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,LM2,Logistic Regression,True,,7,0.6325358680057389,0.033346424171577724,0.11,ok,
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,TR1,Decision Tree,True,,8,0.6235868005738882,0.05022674647103026,0.1,ok,
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,TR2,Random Forest,True,,1,0.6297274031563844,0.016117433554334485,1.89,ok,
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,TR3,Extra Trees,True,,2,0.6241140602582496,0.02027901234310048,1.62,ok,
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,EN1,AdaBoost,True,,9,0.6276829268292683,0.03449581205751087,0.38,ok,
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,EN2,Gradient Boosting (GBM),True,,10,0.6029017216642754,0.04022386379427789,0.49,ok,
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,EN6,Stacking,True,,3,0.5683572453371591,0.03578460281749267,0.46,ok,
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,EN7,Voting Ensemble,True,,4,0.6099497847919656,0.018717379167755777,0.15,ok,
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,SV1,SVM (linear),True,,14,0.6241535150645624,0.02775226628354664,0.08,ok,
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,SV2,Kernel SVM (RBF/Poly),True,,15,0.6202941176470589,0.03164533671238368,0.09,ok,
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,PR1,Naive Bayes,True,,16,0.624361549497848,0.052643086752682575,0.08,ok,
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,IB1,k-Nearest Neighbors,True,,17,0.5917503586800573,0.03686920272009907,0.08,ok,
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,DR4,LDA (Linear Discriminant Analysis),True,,18,0.6309182209469154,0.031836475030096345,0.08,ok,
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,NN1,Perceptron,True,,19,0.5645552367288378,0.09819017516839268,0.09,ok,
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,NN2,MLP (Feedforward),True,,5,0.6402654232424677,0.03340427139838864,2.34,ok,
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,EN3,XGBoost,True,,11,0.6015530846484936,0.034042408332973735,0.24,ok,
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,EN4,LightGBM,True,,12,0.6128407460545194,0.04577344987776854,0.18,ok,
breast_cancer,classification,286,9,False,A11 A21 A38 A41 A51 A61,A53,BASE-HGB,Histogram Gradient Boosting (baseline),False,,,0.5791893830703012,0.06805335004535706,0.5,ok,
schizo,classification,340,14,False,A11 A21 A38 A41 A51 A61,A54,LM2,Logistic Regression,True,,7,0.4086324786324786,0.034809679469807044,0.12,ok,
schizo,classification,340,14,False,A11 A21 A38 A41 A51 A61,A54,TR1,Decision Tree,True,,8,0.3621367521367521,0.02609153727987855,0.08,ok,
schizo,classification,340,14,False,A11 A21 A38 A41 A51 A61,A54,TR2,Random Forest,True,,1,0.3775641025641026,0.03124213685864319,1.81,ok,
schizo,classification,340,14,False,A11 A21 A38 A41 A51 A61,A54,TR3,Extra Trees,True,,2,0.38269230769230766,0.03603574038969588,1.52,ok,
schizo,classification,340,14,False,A11 A21 A38 A41 A51 A61,A54,EN1,AdaBoost,True,,9,0.366025641025641,0.05510629492380503,0.46,ok,
schizo,classification,340,14,False,A11 A21 A38 A41 A51 A61,A54,EN2,Gradient Boosting (GBM),True,,10,0.4025427350427351,0.0345438482084246,2.02,ok,
schizo,classification,340,14,False,A11 A21 A38 A41 A51 A61,A54,EN6,Stacking,True,,3,0.36940170940170935,0.020809552502280487,0.95,ok,
schizo,classification,340,14,False,A11 A21 A38 A41 A51 A61,A54,EN7,Voting Ensemble,True,,4,0.39416666666666667,0.05710234118396712,0.16,ok,
schizo,classification,340,14,False,A11 A21 A38 A41 A51 A61,A54,SV1,SVM (linear),True,,14,0.3905982905982906,0.020737727153408693,0.08,ok,
schizo,classification,340,14,False,A11 A21 A38 A41 A51 A61,A54,SV2,Kernel SVM (RBF/Poly),True,,15,0.36619658119658116,0.018425395928886874,0.1,ok,
schizo,classification,340,14,False,A11 A21 A38 A41 A51 A61,A54,PR1,Naive Bayes,True,,16,0.42594017094017095,0.06683432785364044,0.07,ok,
schizo,classification,340,14,False,A11 A21 A38 A41 A51 A61,A54,IB1,k-Nearest Neighbors,True,,17,0.37239316239316245,0.03659643274445479,0.07,ok,
schizo,classification,340,14,False,A11 A21 A38 A41 A51 A61,A54,DR4,LDA (Linear Discriminant Analysis),True,,18,0.39226495726495725,0.02589419178010901,0.08,ok,
schizo,classification,340,14,False,A11 A21 A38 A41 A51 A61,A54,NN1,Perceptron,True,,19,0.4606837606837607,0.06758817559322378,0.08,ok,
schizo,classification,340,14,False,A11 A21 A38 A41 A51 A61,A54,NN2,MLP (Feedforward),True,,5,0.35365384615384615,0.058137582077776875,2.43,ok,
schizo,classification,340,14,False,A11 A21 A38 A41 A51 A61,A54,EN3,XGBoost,True,,11,0.36376068376068377,0.08343838983839436,0.62,ok,
schizo,classification,340,14,False,A11 A21 A38 A41 A51 A61,A54,EN4,LightGBM,True,,12,0.4015598290598291,0.05608864874796339,0.34,ok,
schizo,classification,340,14,False,A11 A21 A38 A41 A51 A61,A54,BASE-HGB,Histogram Gradient Boosting (baseline),False,,,0.36670940170940175,0.0695775384682664,1.18,ok,
movement_libras,classification,360,90,False,A11 A21 A31 A42 A51 A61,A54,LM2,Logistic Regression,False,needs A32 data (yours is A31),,0.7493333333333335,0.02370185177950821,0.25,ok,
movement_libras,classification,360,90,False,A11 A21 A31 A42 A51 A61,A54,TR1,Decision Tree,False,needs A32 data (yours is A31),,0.688,0.06101365967278691,0.15,ok,
movement_libras,classification,360,90,False,A11 A21 A31 A42 A51 A61,A54,TR2,Random Forest,True,,7,0.8273333333333334,0.027438820836342286,2.11,ok,
movement_libras,classification,360,90,False,A11 A21 A31 A42 A51 A61,A54,TR3,Extra Trees,True,,8,0.8539999999999999,0.03511251755270321,1.61,ok,
movement_libras,classification,360,90,False,A11 A21 A31 A42 A51 A61,A54,EN1,AdaBoost,False,needs A32 data (yours is A31),,0.31333333333333335,0.0753362831280888,0.96,ok,
movement_libras,classification,360,90,False,A11 A21 A31 A42 A51 A61,A54,EN2,Gradient Boosting (GBM),True,,1,0.698,0.03885013942488925,46.24,ok,
movement_libras,classification,360,90,False,A11 A21 A31 A42 A51 A61,A54,EN6,Stacking,True,,9,0.8006666666666666,0.04620726253643591,2.32,ok,
movement_libras,classification,360,90,False,A11 A21 A31 A42 A51 A61,A54,EN7,Voting Ensemble,True,,10,0.7906666666666667,0.028859814429217753,0.32,ok,
movement_libras,classification,360,90,False,A11 A21 A31 A42 A51 A61,A54,SV1,SVM (linear),True,,11,0.7173333333333333,0.012719189352225933,0.29,ok,
movement_libras,classification,360,90,False,A11 A21 A31 A42 A51 A61,A54,SV2,Kernel SVM (RBF/Poly),True,,12,0.808,0.037273761995984964,0.14,ok,
movement_libras,classification,360,90,False,A11 A21 A31 A42 A51 A61,A54,PR1,Naive Bayes,False,needs A32 data (yours is A31),,0.6046666666666667,0.02315167380558042,0.08,ok,
movement_libras,classification,360,90,False,A11 A21 A31 A42 A51 A61,A54,IB1,k-Nearest Neighbors,True,,4,0.7206666666666667,0.03586394041683404,0.1,ok,
movement_libras,classification,360,90,False,A11 A21 A31 A42 A51 A61,A54,DR4,LDA (Linear Discriminant Analysis),True,,5,0.648,0.033770467045103864,0.12,ok,
movement_libras,classification,360,90,False,A11 A21 A31 A42 A51 A61,A54,NN1,Perceptron,True,,6,0.53,0.04642796092394705,0.13,ok,
movement_libras,classification,360,90,False,A11 A21 A31 A42 A51 A61,A54,NN2,MLP (Feedforward),True,,13,0.8493333333333336,0.040846596485441033,3.37,ok,
movement_libras,classification,360,90,False,A11 A21 A31 A42 A51 A61,A54,EN3,XGBoost,True,,2,0.7493333333333334,0.045136829012828755,3.11,ok,
movement_libras,classification,360,90,False,A11 A21 A31 A42 A51 A61,A54,EN4,LightGBM,True,,3,0.7793333333333334,0.029166190472303212,3.15,ok,
movement_libras,classification,360,90,False,A11 A21 A31 A42 A51 A61,A54,BASE-HGB,Histogram Gradient Boosting (baseline),False,,,0.7613333333333333,0.04514667454223199,8.5,ok,
cars,classification,392,8,False,A11 A21 A38 A41 A51 A61,A53,LM2,Logistic Regression,True,,7,0.6284157509157509,0.03732795272560016,0.1,ok,
cars,classification,392,8,False,A11 A21 A38 A41 A51 A61,A53,TR1,Decision Tree,True,,8,0.8523155416012559,0.08620111053454665,0.07,ok,
cars,classification,392,8,False,A11 A21 A38 A41 A51 A61,A53,TR2,Random Forest,True,,1,0.8778000174428747,0.08092525236091894,1.84,ok,
cars,classification,392,8,False,A11 A21 A38 A41 A51 A61,A53,TR3,Extra Trees,True,,2,0.8609532530961103,0.08573349124154468,1.52,ok,
cars,classification,392,8,False,A11 A21 A38 A41 A51 A61,A53,EN1,AdaBoost,True,,9,0.8026465201465202,0.06561510272624912,0.43,ok,
cars,classification,392,8,False,A11 A21 A38 A41 A51 A61,A53,EN2,Gradient Boosting (GBM),True,,10,0.9599590092447234,0.038632728736052266,1.68,ok,
cars,classification,392,8,False,A11 A21 A38 A41 A51 A61,A53,EN6,Stacking,True,,3,0.8052237048665619,0.044730506860693936,0.55,ok,
cars,classification,392,8,False,A11 A21 A38 A41 A51 A61,A53,EN7,Voting Ensemble,True,,4,0.8211215768358626,0.050335954052010974,0.16,ok,
cars,classification,392,8,False,A11 A21 A38 A41 A51 A61,A53,SV1,SVM (linear),True,,14,0.6655463980463981,0.03787777296293048,0.08,ok,
cars,classification,392,8,False,A11 A21 A38 A41 A51 A61,A53,SV2,Kernel SVM (RBF/Poly),True,,15,0.6709715681144253,0.03827007052842042,0.08,ok,
cars,classification,392,8,False,A11 A21 A38 A41 A51 A61,A53,PR1,Naive Bayes,True,,16,0.6616474795046223,0.07833618255916423,0.07,ok,
cars,classification,392,8,False,A11 A21 A38 A41 A51 A61,A53,IB1,k-Nearest Neighbors,True,,17,0.7395216291644864,0.08154459494783496,0.08,ok,
cars,classification,392,8,False,A11 A21 A38 A41 A51 A61,A53,DR4,LDA (Linear Discriminant Analysis),True,,18,0.6740785801500088,0.044806464592377734,0.07,ok,
cars,classification,392,8,False,A11 A21 A38 A41 A51 A61,A53,NN1,Perceptron,True,,19,0.6332417582417583,0.06661064927121844,0.08,ok,
cars,classification,392,8,False,A11 A21 A38 A41 A51 A61,A53,NN2,MLP (Feedforward),True,,5,0.7331214024071167,0.0702697289010125,2.42,ok,
cars,classification,392,8,False,A11 A21 A38 A41 A51 A61,A53,EN3,XGBoost,True,,11,0.9453035060177918,0.035798720353130885,0.34,ok,
cars,classification,392,8,False,A11 A21 A38 A41 A51 A61,A53,EN4,LightGBM,True,,12,0.9351844583987441,0.034035689505843465,0.44,ok,
cars,classification,392,8,False,A11 A21 A38 A41 A51 A61,A53,BASE-HGB,Histogram Gradient Boosting (baseline),False,,,0.9757391418105705,0.011354384413572054,1.14,ok,
collins,classification,485,23,False,A11 A21 A38 A41 A51 A61,A54,LM2,Logistic Regression,True,,7,0.6331715506715507,0.026258403420962927,0.19,ok,
collins,classification,485,23,False,A11 A21 A38 A41 A51 A61,A54,TR1,Decision Tree,True,,8,0.9897435897435898,0.012561485860426536,0.1,ok,
collins,classification,485,23,False,A11 A21 A38 A41 A51 A61,A54,TR2,Random Forest,True,,1,0.9756410256410257,0.018311354944981678,2.35,ok,
collins,classification,485,23,False,A11 A21 A38 A41 A51 A61,A54,TR3,Extra Trees,True,,2,0.9910256410256411,0.011176663957796613,1.59,ok,
collins,classification,485,23,False,A11 A21 A38 A41 A51 A61,A54,EN1,AdaBoost,True,,9,0.24615384615384617,0.05756395979652218,0.62,ok,
collins,classification,485,23,False,A11 A21 A38 A41 A51 A61,A54,EN2,Gradient Boosting (GBM),True,,10,0.9694902319902321,0.02063880814613578,13.39,ok,
collins,classification,485,23,False,A11 A21 A38 A41 A51 A61,A54,EN6,Stacking,True,,3,0.9626282051282052,0.016109524055228867,1.13,ok,
collins,classification,485,23,False,A11 A21 A38 A41 A51 A61,A54,EN7,Voting Ensemble,True,,4,0.9169505494505495,0.04922397898728596,0.29,ok,
collins,classification,485,23,False,A11 A21 A38 A41 A51 A61,A54,SV1,SVM (linear),True,,14,0.6313400488400489,0.02786033198169637,0.12,ok,
collins,classification,485,23,False,A11 A21 A38 A41 A51 A61,A54,SV2,Kernel SVM (RBF/Poly),True,,15,0.6475244200244201,0.022788355995741673,0.13,ok,
collins,classification,485,23,False,A11 A21 A38 A41 A51 A61,A54,PR1,Naive Bayes,True,,16,1.0,0.0,0.08,ok,
collins,classification,485,23,False,A11 A21 A38 A41 A51 A61,A54,IB1,k-Nearest Neighbors,True,,17,0.5400732600732601,0.050795161980314175,0.08,ok,
